"","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v10r","v11r","v12r","v13r","v14r","v15r","v16r","v17r","v18r","v19r","somaescala"
"38","23/07/2013 11:10:58",NA,22,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo","Concordo","Concordo Plenamente","Concordo Plenamente","Discordo","Discordo","Concordo Plenamente","Concordo","Discordo","Concordo",3,3,4,4,2,2,4,3,2,3,30
"39","23/07/2013 11:14:23",NA,22,NA,NA,"Masculino","Solteiro(a)","Ensino Superior Incompleto","Não","Concordo Plenamente","Concordo","Concordo","Concordo Plenamente","Discordo","Concordo Plenamente","Concordo","Discordo","Discordo","Concordo",4,3,3,4,2,4,3,2,2,3,30
"40","23/07/2013 11:32:12",NA,22,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo Plenamente","Concordo","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo","Concordo Plenamente","Discordo","Discordo Plenamente","Concordo",4,3,4,4,1,2,4,2,1,3,28
"41","23/07/2013 11:36:56",NA,36,NA,NA,"Masculino","Solteiro(a)","Ensino Superior Completo","Não","Concordo","Concordo","Concordo","Concordo","Discordo Plenamente","Concordo","Concordo Plenamente","Concordo","Discordo Plenamente","Discordo",3,3,3,3,1,3,4,3,1,2,26
"42","23/07/2013 12:12:25",NA,32,NA,NA,"Masculino","Casado(a)","Ensino Médio Completo","Sim","Discordo","Concordo","Concordo Plenamente","Concordo Plenamente","Concordo",NA,NA,"Concordo","Concordo","Concordo",2,3,4,4,3,NA,NA,3,3,3,NA
"43","23/07/2013 12:14:56",NA,32,NA,NA,"Feminino","Casado(a)","Ensino Superior Completo","Sim","Concordo Plenamente","Discordo Plenamente","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente",4,1,4,4,1,1,4,1,1,4,25
"44","23/07/2013 12:42:09",NA,25,NA,NA,"Masculino","Casado(a)","Ensino Médio Completo","Não","Concordo","Discordo Plenamente","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente",3,1,4,4,1,1,4,1,1,4,24
"45","23/07/2013 12:48:44",NA,23,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Não","Concordo","Concordo","Concordo","Concordo Plenamente","Discordo","Discordo","Concordo Plenamente","Discordo","Discordo","Concordo",3,3,3,4,2,2,4,2,2,3,28
"46","23/07/2013 13:37:51",NA,23,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Não","Concordo","Concordo","Concordo","Concordo","Discordo","Concordo","Concordo","Concordo","Concordo","Discordo",3,3,3,3,2,3,3,3,3,2,28
"47","23/07/2013 14:21:18",NA,22,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Discordo","Discordo","Concordo","Concordo","Discordo","Concordo","Concordo","Concordo Plenamente","Concordo","Concordo",2,2,3,3,2,3,3,4,3,3,28
"48","23/07/2013 19:05:24",NA,32,NA,NA,"Masculino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo","Discordo Plenamente","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Discordo",3,1,4,4,1,1,4,1,1,2,22
"49","23/07/2013 19:10:58",NA,26,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Completo","Sim","Concordo","Discordo",NA,"Concordo","Discordo Plenamente","Discordo","Concordo","Concordo","Discordo","Concordo",3,2,NA,3,1,2,3,3,2,3,NA
"50","23/07/2013 19:16:44",NA,24,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Discordo","Discordo","Concordo","Discordo","Discordo","Concordo","Discordo","Discordo","Concordo","Discordo",2,2,3,2,2,3,2,2,3,2,23
"51","23/07/2013 19:30:34",NA,23,NA,NA,"Masculino","Solteiro(a)","Ensino Superior Incompleto","Não","Discordo","Discordo","Concordo","Concordo","Discordo","Discordo","Concordo","Discordo","Discordo","Concordo",2,2,3,3,2,2,3,2,2,3,24
"52","24/07/2013 10:40:30",NA,26,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Completo","Sim","Concordo Plenamente","Discordo","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente",4,2,4,4,1,2,4,1,1,4,27
"53","24/07/2013 16:13:08",NA,51,NA,NA,"Masculino","Solteiro(a)","Ensino Médio Completo","Sim","Concordo Plenamente","Discordo Plenamente","Concordo","Concordo","Discordo","Discordo Plenamente","Concordo","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente",4,1,3,3,2,1,3,1,1,4,23
"54","24/07/2013 19:34:54",NA,58,NA,NA,"Masculino","Casado(a)","Ensino Superior Completo","Sim","Concordo Plenamente","Discordo Plenamente","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente",4,1,4,4,1,1,4,1,1,4,25
"55","25/07/2013 08:28:16",NA,NA,NA,NA,"Feminino","Solteiro(a)","Ensino Superior Incompleto","Sim","Concordo Plenamente","Discordo Plenamente","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente",4,1,4,4,1,1,4,1,1,4,25
"56","29/07/2013 20:06:34",NA,55,NA,NA,"Feminino","Casado(a)","Ensino Médio Completo","Sim","Concordo Plenamente","Discordo Plenamente","Concordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente","Discordo Plenamente","Discordo Plenamente","Concordo Plenamente",4,1,4,4,1,1,4,1,1,4,25
